股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
002170,芭田股份,2024-01-02,4.95,5.04,5.07,4.93,105256,59170938.04,2.82,1.61,0.08,1.48
002170,芭田股份,2024-01-03,5.02,5.09,5.12,4.98,145403,82301708.11,2.78,0.99,0.05,2.05
002170,芭田股份,2024-01-04,5.08,5.1,5.2,5.06,144286,82382965.5,2.75,0.2,0.01,2.04
002170,芭田股份,2024-01-05,5.08,5.0,5.11,4.98,105391,59255855.93,2.55,-1.96,-0.1,1.49
002170,芭田股份,2024-01-08,5.04,4.97,5.08,4.97,90634,50941191.0,2.2,-0.6,-0.03,1.28
002170,芭田股份,2024-01-09,4.98,4.99,5.06,4.94,62186,34691885.2,2.41,0.4,0.02,0.88
002170,芭田股份,2024-01-10,4.98,4.96,5.05,4.95,55929,31223892.0,2.0,-0.6,-0.03,0.79
002170,芭田股份,2024-01-11,4.97,5.07,5.1,4.95,81866,46021118.0,3.02,2.22,0.11,1.15
002170,芭田股份,2024-01-12,5.06,5.1,5.16,5.04,90215,51462794.4,2.37,0.59,0.03,1.27
002170,芭田股份,2024-01-15,5.09,5.08,5.16,5.07,76280,43465120.0,1.76,-0.39,-0.02,1.08
002170,芭田股份,2024-01-16,5.05,5.06,5.1,4.98,87193,49044074.2,2.36,-0.39,-0.02,1.23
002170,芭田股份,2024-01-17,5.06,4.96,5.07,4.94,68651,38424334.0,2.57,-1.98,-0.1,0.97
002170,芭田股份,2024-01-18,4.92,4.82,4.93,4.64,133146,71228992.92,5.85,-2.82,-0.14,1.88
002170,芭田股份,2024-01-19,4.85,4.77,4.9,4.74,66328,35874663.0,3.32,-1.04,-0.05,0.94
002170,芭田股份,2024-01-22,4.77,4.42,4.84,4.34,121424,62757034.37,10.48,-7.34,-0.35,1.71
002170,芭田股份,2024-01-23,4.42,4.39,4.49,4.25,114111,56414911.0,5.43,-0.68,-0.03,1.61
002170,芭田股份,2024-01-24,4.41,4.56,4.61,4.3,124106,62723162.72,7.06,3.87,0.17,1.75
002170,芭田股份,2024-01-25,4.56,4.76,4.76,4.52,104357,55045085.52,5.26,4.39,0.2,1.47
