股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
000017,深中华A,2024-01-02,4.35,4.43,4.44,4.31,60291,26529772.0,2.99,1.84,0.08,1.99
000017,深中华A,2024-01-03,4.41,4.5,4.57,4.39,104406,47008132.06,4.06,1.58,0.07,3.45
000017,深中华A,2024-01-04,4.49,4.57,4.57,4.49,87223,39522787.76,1.78,1.56,0.07,2.88
000017,深中华A,2024-01-05,4.59,4.46,4.6,4.44,59058,26621505.0,3.5,-2.41,-0.11,1.95
000017,深中华A,2024-01-08,4.46,4.47,4.64,4.44,76195,34357516.0,4.48,0.22,0.01,2.51
000017,深中华A,2024-01-09,4.49,4.92,4.92,4.49,191292,91608078.27,9.62,10.07,0.45,6.31
000017,深中华A,2024-01-10,5.16,5.41,5.41,5.13,155772,83346702.72,5.69,9.96,0.49,5.14
000017,深中华A,2024-01-11,5.95,5.95,5.95,5.95,68522,40770304.4,0.0,9.98,0.54,2.26
000017,深中华A,2024-01-12,6.55,6.55,6.55,6.55,56385,36932410.8,0.0,10.08,0.6,1.86
000017,深中华A,2024-01-15,6.67,7.21,7.21,6.61,436850,306144404.55,9.16,10.08,0.66,14.42
000017,深中华A,2024-01-16,7.93,7.93,7.93,7.93,50929,40386649.42,0.0,9.99,0.72,1.68
000017,深中华A,2024-01-17,8.6,8.72,8.72,8.49,391886,339203344.75,2.9,9.96,0.79,12.93
000017,深中华A,2024-01-18,9.16,9.59,9.59,8.4,1479726,1372583540.7,13.65,9.98,0.87,48.84
000017,深中华A,2024-01-19,9.59,10.55,10.55,9.5,1198321,1217823316.63,10.95,10.01,0.96,39.55
000017,深中华A,2024-01-22,10.98,11.61,11.61,10.68,540293,610380263.12,8.82,10.05,1.06,17.83
000017,深中华A,2024-01-23,12.34,12.77,12.77,11.4,1109967,1375429200.81,11.8,9.99,1.16,36.63
000017,深中华A,2024-01-24,13.42,12.3,14.05,12.2,1403371,1856065948.9,14.49,-3.68,-0.47,46.32
000017,深中华A,2024-01-25,12.75,13.53,13.53,12.5,1385524,1801477756.92,8.37,10.0,1.23,45.73
000017,深中华A,2024-01-26,13.98,12.8,14.88,12.5,1584471,2203203226.73,17.59,-5.4,-0.73,52.3
000017,深中华A,2024-01-29,12.31,12.6,13.1,11.88,1146938,1430687473.1,9.53,-1.56,-0.2,37.85
000017,深中华A,2024-01-30,12.6,12.99,13.18,12.22,1183266,1516729516.1,7.62,3.1,0.39,39.05
000017,深中华A,2024-01-31,11.69,11.69,11.96,11.69,214816,251314199.0,2.08,-10.01,-1.3,7.09
000017,深中华A,2024-02-01,10.62,11.27,11.58,10.62,1159496,1278469741.59,8.21,-3.59,-0.42,38.27
000017,深中华A,2024-02-02,11.5,10.45,12.08,10.28,1376163,1573367123.96,15.97,-7.28,-0.82,45.42
000017,深中华A,2024-02-05,10.5,11.5,11.5,10.5,1327434,1500875712.83,9.57,10.05,1.05,43.81
000017,深中华A,2024-02-06,11.5,10.88,11.88,10.35,1466120,1584735572.56,13.3,-5.39,-0.62,48.39
000017,深中华A,2024-02-07,11.2,10.65,11.28,10.55,1048334,1142402322.72,6.71,-2.11,-0.23,34.6
000017,深中华A,2024-02-08,10.2,9.59,10.47,9.59,1120167,1080806667.63,8.26,-9.95,-1.06,36.97
000017,深中华A,2024-02-19,9.35,10.06,10.07,9.0,1139402,1096014618.95,11.16,4.9,0.47,37.61
000017,深中华A,2024-02-20,9.88,11.07,11.07,9.79,989907,1034613501.1,12.72,10.04,1.01,32.67
