股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
000723,美锦能源,2024-01-02,6.68,6.77,6.82,6.68,373116,251962410.6,2.1,1.65,0.11,0.93
000723,美锦能源,2024-01-03,6.74,6.75,6.77,6.7,203047,136783973.0,1.03,-0.3,-0.02,0.51
000723,美锦能源,2024-01-04,6.76,6.7,6.82,6.67,223490,150380168.8,2.22,-0.74,-0.05,0.56
000723,美锦能源,2024-01-05,6.7,6.61,6.73,6.58,179565,119493655.0,2.24,-1.34,-0.09,0.45
000723,美锦能源,2024-01-08,6.57,6.42,6.58,6.42,210579,136438631.4,2.42,-2.87,-0.19,0.53
000723,美锦能源,2024-01-09,6.42,6.38,6.48,6.35,180339,115592157.78,2.02,-0.62,-0.04,0.45
000723,美锦能源,2024-01-10,6.38,6.31,6.43,6.25,191229,121101403.44,2.82,-1.1,-0.07,0.48
000723,美锦能源,2024-01-11,6.3,6.35,6.38,6.26,200913,127069683.95,1.9,0.63,0.04,0.5
000723,美锦能源,2024-01-12,6.35,6.36,6.52,6.33,279043,178953162.07,2.99,0.16,0.01,0.7
000723,美锦能源,2024-01-15,6.3,6.25,6.35,6.2,195770,122839146.57,2.36,-1.73,-0.11,0.49
000723,美锦能源,2024-01-16,6.24,6.17,6.26,6.09,246734,152031725.2,2.72,-1.28,-0.08,0.62
000723,美锦能源,2024-01-17,6.16,5.95,6.17,5.95,225310,136296209.2,3.57,-3.57,-0.22,0.56
000723,美锦能源,2024-01-18,5.93,5.9,5.93,5.7,359465,208365511.62,3.87,-0.84,-0.05,0.9
000723,美锦能源,2024-01-19,5.89,5.87,5.91,5.8,176988,103915577.94,1.86,-0.51,-0.03,0.44
000723,美锦能源,2024-01-22,5.87,5.53,5.88,5.4,338320,191289004.88,8.18,-5.79,-0.34,0.85
000723,美锦能源,2024-01-23,5.47,5.61,5.64,5.4,316019,175388268.78,4.34,1.45,0.08,0.79
000723,美锦能源,2024-01-24,5.65,5.74,5.81,5.52,345160,196170252.84,5.17,2.32,0.13,0.86
000723,美锦能源,2024-01-25,5.75,5.85,5.86,5.72,300858,174928267.4,2.44,1.92,0.11,0.75
000723,美锦能源,2024-01-26,5.81,5.78,5.89,5.78,284494,166011680.17,1.88,-1.2,-0.07,0.71
000723,美锦能源,2024-01-29,5.81,5.66,5.83,5.64,238699,136410991.23,3.29,-2.08,-0.12,0.6
000723,美锦能源,2024-01-30,5.61,5.54,5.73,5.52,229755,129742953.04,3.71,-2.12,-0.12,0.58
000723,美锦能源,2024-01-31,5.46,5.36,5.59,5.32,337760,184412994.88,4.87,-3.25,-0.18,0.85
000723,美锦能源,2024-02-01,5.34,5.18,5.36,5.18,348721,183104334.94,3.36,-3.36,-0.18,0.87
000723,美锦能源,2024-02-02,5.23,4.97,5.31,4.77,519928,262041814.67,10.42,-4.05,-0.21,1.3
000723,美锦能源,2024-02-05,4.97,4.69,4.98,4.59,555971,265308689.04,7.85,-5.63,-0.28,1.39
000723,美锦能源,2024-02-06,4.58,5.16,5.16,4.58,568601,283146901.03,12.37,10.02,0.47,1.42
000723,美锦能源,2024-02-07,5.2,5.68,5.68,5.19,1180648,660130556.19,9.5,10.08,0.52,2.96
000723,美锦能源,2024-02-08,5.8,6.03,6.25,5.6,1093328,658576981.53,11.44,6.16,0.35,2.74
000723,美锦能源,2024-02-19,6.04,5.9,6.14,5.83,721309,429776484.39,5.14,-2.16,-0.13,1.81
000723,美锦能源,2024-02-20,5.85,5.84,5.89,5.76,358234,208116908.71,2.2,-1.02,-0.06,0.9
000723,美锦能源,2024-02-21,5.8,5.84,6.03,5.73,499335,294763222.44,5.14,0.0,0.0,1.25
000723,美锦能源,2024-02-22,5.88,6.03,6.12,5.81,599984,359045445.44,5.31,3.25,0.19,1.5
000723,美锦能源,2024-02-23,6.04,6.03,6.08,5.93,429402,257729185.61,2.49,0.0,0.0,1.07
